Country Name,,"Population, total","Life expectancy at birth, total (years)","GNI per capita, Atlas method (current US$)",GDP (current US$),CO2 emissions (metric tons per capita)
Ethiopia,1960,22151278,38.419,,,0.0158921756117187
Ethiopia,1961,22671191,39.082,,,0.0150424827703141
Ethiopia,1962,23221389,39.711,,,0.0170547937507097
Ethiopia,1963,23798430,40.29,,,0.0177198663945479
Ethiopia,1964,24397022,40.81,,,0.0166838805162368
Ethiopia,1965,25013626,41.267,,,0.0258016170866231
Ethiopia,1966,25641044,41.668,,,0.0321779019606222
Ethiopia,1967,26280132,42.026,,,0.040883774860796
Ethiopia,1968,26944390,42.355,,,0.0641008016882178
Ethiopia,1969,27652709,42.659,,,0.0603371264638123
Ethiopia,1970,28415077,42.944,,,0.0582020946133632
Ethiopia,1971,29248643,43.213,,,0.0633135356057373
Ethiopia,1972,30140804,43.465,,,0.0467183290797419
Ethiopia,1973,31036662,43.693,,,0.0564759831453524
Ethiopia,1974,31861352,43.894,,,0.0545538055007835
Ethiopia,1975,32566854,44.044,,,0.0371577187038085
Ethiopia,1976,33128149,44.116,,,0.0355319278478251
Ethiopia,1977,33577242,44.103,,,0.0312343104296654
Ethiopia,1978,33993301,44.016,,,0.0403449491415971
Ethiopia,1979,34487799,43.881,,,0.0535890388366042
Ethiopia,1980,35141712,43.747,,,0.0518614175655415
Ethiopia,1981,35984528,43.675,,7324903188.4058,0.0518695979560993
Ethiopia,1982,36995248,43.712,,7707678019.32367,0.0400448187291514
Ethiopia,1983,38142674,43.885,210,8567890821.25604,0.0483579363103908
Ethiopia,1984,39374348,44.199,200,8096302367.14976,0.0422817921962797
Ethiopia,1985,40652141,44.633,190,9480840483.09179,0.0446511537977791
Ethiopia,1986,41965693,45.147,230,9848600869.56522,0.0527780632622938
Ethiopia,1987,43329231,45.682,280,10527338647.343,0.0595802865737451
Ethiopia,1988,44757203,46.194,270,10908935748.7923,0.0597276599254873
Ethiopia,1989,46272299,46.667,260,11476584879.2271,0.0611004220905471
Ethiopia,1990,47887865,47.099,260,12175166763.285,0.0630209970730581
Ethiopia,1991,49609969,47.504,250,13463868357.4879,0.0601681085509245
Ethiopia,1992,51423585,47.911,220,10492993077.6093,0.0576895407039396
Ethiopia,1993,53295566,48.344,210,8830712713.90781,0.0568329080133983
Ethiopia,1994,55180998,48.81,160,6927950564.55657,0.040603415690307
Ethiopia,1995,57047908,49.303,150,7663984567.90123,0.0449312356905358
Ethiopia,1996,58883530,49.81,150,8547939730.62374,0.0485748731436448
Ethiopia,1997,60697443,50.32,140,8589211390.49612,0.050264786277735
Ethiopia,1998,62507724,50.835,130,7818224905.55071,0.0515076504785233
Ethiopia,1999,64343013,51.366,120,7700833482.00615,0.0490696169295025
Ethiopia,2000,66224804,51.941,130,8242392103.68061,0.0536000982350963
Ethiopia,2001,68159423,52.595,130,8231326016.47494,0.0638610012881124
Ethiopia,2002,70142091,53.349,120,7850809498.16803,0.0644607387025288
Ethiopia,2003,72170584,54.211,110,8623691300.04079,0.0691018379454987
Ethiopia,2004,74239505,55.174,140,10131187261.4421,0.071325206168872
Ethiopia,2005,76346311,56.223,160,12401139453.9738,0.0670514650013672
Ethiopia,2006,78489206,57.334,180,15280861834.6024,0.0701264196761017
Ethiopia,2007,80674348,58.467,220,19707616772.7996,0.0745451329832873
Ethiopia,2008,82916235,59.581,280,27066912635.2228,0.0793402884248181
Ethiopia,2009,85233913,60.645,340,32437389116.038,0.077785188625565
Ethiopia,2010,87639964,61.627,380,29933790334.3418,0.0751475890610818
Ethiopia,2011,90139927,62.505,390,31952763089.33,0.0857152790904745
Ethiopia,2012,92726971,63.281,410,43310721414.0829,0.0923403936056533
Ethiopia,2013,95385785,63.961,470,47648211133.2183,0.111487261964663
Ethiopia,2014,98094253,64.547,550,55612228233.5179,0.118240576234369
Ethiopia,2015,100835458,65.048,600,64589334978.8013,
Ethiopia,2016,103603501,65.482,670,74296618481.0882,
Ethiopia,2017,106400024,65.872,740,81760441158.7556,
Ethiopia,2018,109224559,66.24,790,84355604752.5299,
Ethiopia,2019,,,,,
